player_id;player_name;player_nickname;last_team_id;last_team_name;last_team_acronym
11962;Leandro Moraes de Almeida;Leandro;23;L. Sorocabana;LSB
11964;Stefano Pierotti Alles;Stefano;13;Bauru;BAU
11965;Diego Vinícius Mendonça de Souza;Diego;222;Vitória;VIT
11966;Tiago Botelho Alaluia;Tiago;222;Vitória;VIT
11967;José Jairo Santos Gonçalves Júnior;Jairo;222;Vitória;VIT
11968;William Patrocínio dos Santos;William;222;Vitória;VIT
11969;Isaac Carmelo Sosa Carrion;Sosa;16;Minas;MIN
11970;Dexter Grant Kernich-Drew;Kernich-Drew;16;Minas;MIN
11971;Gabriel Luiz Echer;Gabriel;210;Caxias do Sul;CAX
11972;Igor Teixeira Nascimento;Igor;54;Mogi;MOG
11973;Fabrício Paulino de Melo;Fab Melo;3;Brasília Antigo;BRA
11975;Scott Rodgers;Rodgers;16;Minas;MIN
11979;Ricardo Augusto Lento Coelho dos Santos;Ricardinho;239;Vasco da Gama;VAS
11981;Matheus Araujo Silveira;Matheus S.;16;Minas;MIN
12003;Damian Dario Palacios;Palacios;239;Vasco da Gama;VAS
12008;Felipe Machado Silva;Felipin;2;Flamengo;FLA
12010;Danilo Martins Monteiro;Danilo;282;Brasília;BSB
12011;Heitor Cesar do Nascimento Silva;Heitor;2;Flamengo;FLA
12012;Marcos Henrique Louzada Silva;Didi;14;Franca;FRA
12015;Guilherme Braga Abreu;Guilherme;14;Franca;FRA
12024;Augusto Cabral Leão;Augusto;284;Pato Basquete;PAT
12025;Thales Santos Silva;Thales;16;Minas;MIN
12050;Felipe Franklin Santos;Franklin;54;Mogi;MOG
12054;Gregory Eduard Brown;Brown;130;Campo Mourão;CMO
12055;Jordan Emerson Montgomery;Jordan;130;Campo Mourão;CMO
12056;Douglas Nathan dos Reis;Douglas;210;Caxias do Sul;CAX
12057;Jonas Giacomin;Jonas;210;Caxias do Sul;CAX
12058;Keyron Jamier Sheard;Keyron;222;Vitória;VIT
12059;Victor Pedreira Palma;Vitinho;222;Vitória;VIT
12060;Darnell Evans;Darnell;23;L. Sorocabana;LSB
12062;Kendall Lamont Anthony;Anthony;13;Bauru;BAU
12063;Lewis Bernard Leonard;Leonard;87;Macaé Basquete;MAC
12064;Carlos César Silva Júnior;Silva Júnior;87;Macaé Basquete;MAC
12065;Drew James Maynard;Maynard;16;Minas;MIN
12066;William César Oliveira dos Santos;W. César;130;Campo Mourão;CMO
12067;Isaac Donnell Thornton;Thornton;284;Pato Basquete;PAT
12068;Hakeem Atiopa Rollins;Rollins;2;Flamengo;FLA
12078;Rodrigo Pedreira dos Santos Bispo;R. Bahia;267;Botafogo;BOT
12079;Erike Silva de Moura Lima;Guapi;267;Botafogo;BOT
12095;Deonta Michael Stocks;Stocks;239;Vasco da Gama;VAS
12123;Nicholas Nathaniel Okorie;Okorie;239;Vasco da Gama;VAS
12124;Matthew Shaw;Shaw;222;Vitória;VIT
12125;Dontrell Chaquan Brite;Brite;53;Basq. Cearense;CEA
12127;David Alejandro Cubillan Leon;Cubillan;2;Flamengo;FLA
12128;Anton Emanuel Cook;Cook;268;Joinville / AABJ;JLE
12129;Nathan Eli Molony Benjamin;Molony Benjamin;53;Basq. Cearense;CEA
12130;Malcolm Jaleel Rhett;Rhett;2;Flamengo;FLA
12131;Evan Tyler Roquemore;Roquemore;17;Paulistano;CAP
12132;Kyle Alejandro Fuller;Fuller;279;Corinthians;COR
12133;Cameron Alexander Tatum;Tatum;267;Botafogo;BOT
12134;Eric Curran Laster;Laster;268;Joinville / AABJ;JLE
12135;Jamail Le Roy Jones;Jones;130;Campo Mourão;CMO
12138;Bruno Luiz Soares Freitas;Bruninho;53;Basq. Cearense;CEA
12147;Pedro Barros Leal Ribeiro Lobo;P. Lobo;53;Basq. Cearense;CEA
12156;Paulo Henrique Scheuer;Scheuer;284;Pato Basquete;PAT
12161;João Matheus de Oliveira Camargo;Camargo;2;Flamengo;FLA
12165;Ruan Michel Marques Miranda;Ruan;2;Flamengo;FLA
12179;George Junio de Moura Pedro;George;16;Minas;MIN
